File Name,Sliced File Name,Truncated Description,Description,Certainty
image1948,image1948_01_02.jpg,ice lolly,"ice lolly, lolly, lollipop, popsicle",0.261214256
image1948,image1948_02_01.jpg,jersey,"jersey, T-shirt, tee shirt",0.050888408
image1948,image1948_02_02.jpg,prison,"prison, prison house",0.871815085
image1949,image1949.jpg,alp,alp,0.232123628
image1949,image1949_01_01.jpg,dam,"dam, dike, dyke",0.644739628
image1949,image1949_01_02.jpg,valley,"valley, vale",0.109900981
image1949,image1949_02_01.jpg,mountain tent,mountain tent,0.088144213
image1949,image1949_02_02.jpg,military uniform,military uniform,0.920391142
image195,image195.jpg,suit,"suit, suit of clothes",0.776087701
image195,image195_01_01.jpg,suit,"suit, suit of clothes",0.302087992
image195,image195_01_02.jpg,suit,"suit, suit of clothes",0.265188754
image195,image195_02_01.jpg,suit,"suit, suit of clothes",0.802037477
image195,image195_02_02.jpg,suit,"suit, suit of clothes",0.626698434
image1950,image1950.jpg,totem pole,totem pole,0.523129404
image1950,image1950_01_01.jpg,buckeye,"buckeye, horse chestnut, conker",0.077528484
image1950,image1950_01_02.jpg,alp,alp,0.720966816
image1950,image1950_02_01.jpg,alp,alp,0.226829097
image1950,image1950_02_02.jpg,alp,alp,0.443088382
image1951,image1951.jpg,parachute,"parachute, chute",0.944756985
image1951,image1951_01_01.jpg,parachute,"parachute, chute",0.954681754
image1951,image1951_01_02.jpg,parachute,"parachute, chute",0.443074822
image1951,image1951_02_01.jpg,mountain bike,"mountain bike, all-terrain bike, off-roader",0.405652821
image1951,image1951_02_02.jpg,breakwater,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",0.139400512
image1952,image1952.jpg,drum,"drum, membranophone, tympan",0.592265725
image1952,image1952_01_01.jpg,gar,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.114603691
image1952,image1952_01_02.jpg,sarong,sarong,0.545003474
image1952,image1952_02_01.jpg,drum,"drum, membranophone, tympan",0.29551807
image1952,image1952_02_02.jpg,solar dish,"solar dish, solar collector, solar furnace",0.300093979
image1953,image1953.jpg,maillot,maillot,0.187586889
image1953,image1953_01_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.153278068
image1953,image1953_01_02.jpg,soft-coated wheaten terrier,soft-coated wheaten terrier,0.055305306
image1953,image1953_02_01.jpg,maillot,"maillot, tank suit",0.450078636
image1953,image1953_02_02.jpg,nail,nail,0.231932521
image1954,image1954.jpg,jersey,"jersey, T-shirt, tee shirt",0.134902209
image1954,image1954_01_01.jpg,neck brace,neck brace,0.330153793
image1954,image1954_01_02.jpg,Windsor tie,Windsor tie,0.086100303
image1954,image1954_02_01.jpg,suit,"suit, suit of clothes",0.190680936
image1954,image1954_02_02.jpg,suit,"suit, suit of clothes",0.146608606
image1955,image1955.jpg,barracouta,"barracouta, snoek",0.792936325
image1955,image1955_01_01.jpg,coho,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.325913608
image1955,image1955_01_02.jpg,gar,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.48865515
image1955,image1955_02_01.jpg,barracouta,"barracouta, snoek",0.765466094
image1955,image1955_02_02.jpg,sturgeon,sturgeon,0.7577824
image1956,image1956.jpg,lighter,"lighter, light, igniter, ignitor",0.50316298
image1956,image1956_01_01.jpg,breastplate,"breastplate, aegis, egis",0.226920918
image1956,image1956_01_02.jpg,caldron,"caldron, cauldron",0.220035434
image1956,image1956_02_01.jpg,potter's wheel,potter's wheel,0.064039469
image1956,image1956_02_02.jpg,torch,torch,0.050091676
image1957,image1957.jpg,lawn mower,"lawn mower, mower",0.405270576
image1957,image1957_01_01.jpg,bow,bow,0.135923117
image1957,image1957_01_02.jpg,go-kart,go-kart,0.816461921
image1957,image1957_02_01.jpg,motor scooter,"motor scooter, scooter",0.523476899
image1957,image1957_02_02.jpg,go-kart,go-kart,0.569174469
image1958,image1958.jpg,rifle,rifle,0.379224151
image1958,image1958_01_01.jpg,space shuttle,space shuttle,0.088025682
image1958,image1958_01_02.jpg,pole,pole,0.240847781
image1958,image1958_02_01.jpg,bow,bow,0.23118411
image1958,image1958_02_02.jpg,promontory,"promontory, headland, head, foreland",0.044687305
image1959,image1959.jpg,sweatshirt,sweatshirt,0.299851328
image1959,image1959_01_01.jpg,sunglasses,"sunglasses, dark glasses, shades",0.139319673
image1959,image1959_01_02.jpg,loupe,"loupe, jeweler's loupe",0.231643647
image1959,image1959_02_01.jpg,sweatshirt,sweatshirt,0.228032529
image1959,image1959_02_02.jpg,sweatshirt,sweatshirt,0.277036548
image196,image196.jpg,pineapple,"pineapple, ananas",0.944440365
image196,image196_01_01.jpg,steel drum,steel drum,0.421581566
image196,image196_01_02.jpg,pineapple,"pineapple, ananas",0.656483471
image196,image196_02_01.jpg,sweatshirt,sweatshirt,0.163553581
image196,image196_02_02.jpg,accordion,"accordion, piano accordion, squeeze box",0.205004886
image1960,image1960.jpg,cellular telephone,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.339312345
image1960,image1960_01_01.jpg,rocking chair,"rocking chair, rocker",0.049862184
image1960,image1960_01_02.jpg,cash machine,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",0.215608075
image1960,image1960_02_01.jpg,Dutch oven,Dutch oven,0.248485208
image1960,image1960_02_02.jpg,miniskirt,"miniskirt, mini",0.988412321
image1961,image1961.jpg,analog clock,analog clock,0.259256214
image1961,image1961_01_01.jpg,safety pin,safety pin,0.681005061
image1961,image1961_01_02.jpg,book jacket,"book jacket, dust cover, dust jacket, dust wrapper",0.20284377
image1961,image1961_02_01.jpg,miniskirt,"miniskirt, mini",0.095065854
image1961,image1961_02_02.jpg,Band Aid,Band Aid,0.25856629
image1962,image1962.jpg,grand piano,"grand piano, grand",0.9214679
image1962,image1962_01_01.jpg,restaurant,"restaurant, eating house, eating place, eatery",0.203641042
image1962,image1962_01_02.jpg,grand piano,"grand piano, grand",0.588995874
image1962,image1962_02_01.jpg,suit,"suit, suit of clothes",0.603597939
image1962,image1962_02_02.jpg,suit,"suit, suit of clothes",0.126336902
image1963,image1963.jpg,menu,menu,0.672339916
image1963,image1963_01_01.jpg,scoreboard,scoreboard,0.293994725
image1963,image1963_01_02.jpg,web site,"web site, website, internet site, site",0.343790889
image1963,image1963_02_01.jpg,scoreboard,scoreboard,0.962590337
image1963,image1963_02_02.jpg,television,"television, television system",0.476315737
image1964,image1964.jpg,ice lolly,"ice lolly, lolly, lollipop, popsicle",0.243121788
image1964,image1964_01_01.jpg,gown,gown,0.228523314
image1964,image1964_01_02.jpg,refrigerator,"refrigerator, icebox",0.246440679
image1964,image1964_02_01.jpg,plunger,"plunger, plumber's helper",0.090329953
image1964,image1964_02_02.jpg,restaurant,"restaurant, eating house, eating place, eatery",0.207729429
image1965,image1965.jpg,bikini,"bikini, two-piece",0.137805417
image1965,image1965_01_01.jpg,kite,kite,0.222805768
image1965,image1965_01_02.jpg,flagpole,"flagpole, flagstaff",0.068627447
image1965,image1965_02_01.jpg,bikini,"bikini, two-piece",0.098735951
image1965,image1965_02_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.135103866
image1966,image1966.jpg,seashore,"seashore, coast, seacoast, sea-coast",0.970559299
image1966,image1966_01_01.jpg,seashore,"seashore, coast, seacoast, sea-coast",0.204391897
image1966,image1966_01_02.jpg,beacon,"beacon, lighthouse, beacon light, pharos",0.118126251
image1966,image1966_02_01.jpg,seashore,"seashore, coast, seacoast, sea-coast",0.613966048
image1966,image1966_02_02.jpg,seashore,"seashore, coast, seacoast, sea-coast",0.586174667
image1967,image1967.jpg,sunglasses,"sunglasses, dark glasses, shades",0.368998975
image1967,image1967_01_01.jpg,limousine,"limousine, limo",0.255875438
image1967,image1967_01_02.jpg,sunglasses,"sunglasses, dark glasses, shades",0.383598506
image1967,image1967_02_01.jpg,seat belt,"seat belt, seatbelt",0.254273951
image1967,image1967_02_02.jpg,cardigan,cardigan,0.074154109
image1968,image1968.jpg,military uniform,military uniform,0.860969543
image1968,image1968_01_01.jpg,military uniform,military uniform,0.242670313
image1968,image1968_01_02.jpg,military uniform,military uniform,0.300857365
image1968,image1968_02_01.jpg,suit,"suit, suit of clothes",0.258350611
image1968,image1968_02_02.jpg,pickelhaube,pickelhaube,0.307012796
image1969,image1969.jpg,seat belt,"seat belt, seatbelt",0.904055417
image1969,image1969_01_01.jpg,seat belt,"seat belt, seatbelt",0.677945793
image1969,image1969_01_02.jpg,seat belt,"seat belt, seatbelt",0.869791448
image1969,image1969_02_01.jpg,seat belt,"seat belt, seatbelt",0.287832767
image1969,image1969_02_02.jpg,seat belt,"seat belt, seatbelt",0.057811763
image197,image197.jpg,seat belt,"seat belt, seatbelt",0.996682584
image197,image197_01_01.jpg,seat belt,"seat belt, seatbelt",0.998438418
image197,image197_01_02.jpg,seat belt,"seat belt, seatbelt",0.993772566
image197,image197_02_01.jpg,seat belt,"seat belt, seatbelt",0.94092226
image197,image197_02_02.jpg,seat belt,"seat belt, seatbelt",0.812807322
image1970,image1970.jpg,Band Aid,Band Aid,0.092583209
image1970,image1970_01_01.jpg,bonnet,"bonnet, poke bonnet",0.253556222
image1970,image1970_01_02.jpg,neck brace,neck brace,0.338123143
image1970,image1970_02_01.jpg,lipstick,"lipstick, lip rouge",0.067891471
image1970,image1970_02_02.jpg,shower cap,shower cap,0.713608265
image1971,image1971.jpg,bottlecap,bottlecap,0.496846765
image1971,image1971_01_01.jpg,ski mask,ski mask,0.343972564
image1971,image1971_01_02.jpg,snorkel,snorkel,0.170539901
image1971,image1971_02_01.jpg,seat belt,"seat belt, seatbelt",0.260780543
image1971,image1971_02_02.jpg,pick,"pick, plectrum, plectron",0.347068846
image1972,image1972.jpg,African grey,"African grey, African gray, Psittacus erithacus",0.124689251
image1972,image1972_01_01.jpg,abaya,abaya,0.13591364
image1972,image1972_01_02.jpg,bonnet,"bonnet, poke bonnet",0.098854847
image1972,image1972_02_01.jpg,sweatshirt,sweatshirt,0.323912799
image1972,image1972_02_02.jpg,barbershop,barbershop,0.14725022
image1973,image1973.jpg,mortarboard,mortarboard,0.685608566
image1973,image1973_01_01.jpg,abaya,abaya,0.328517914
image1973,image1973_01_02.jpg,mortarboard,mortarboard,0.205867037
image1973,image1973_02_01.jpg,syringe,syringe,0.353895426
image1973,image1973_02_02.jpg,brassiere,"brassiere, bra, bandeau",0.152808398
image1974,image1974.jpg,jersey,"jersey, T-shirt, tee shirt",0.200844944
image1974,image1974_01_01.jpg,bow tie,"bow tie, bow-tie, bowtie",0.15611425
image1974,image1974_01_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.051603775
image1974,image1974_02_01.jpg,jersey,"jersey, T-shirt, tee shirt",0.148479864
image1974,image1974_02_02.jpg,bathing cap,"bathing cap, swimming cap",0.099728979
image1975,image1975.jpg,espresso maker,espresso maker,0.136458784
image1975,image1975_01_01.jpg,hourglass,hourglass,0.180444211
image1975,image1975_01_02.jpg,table lamp,table lamp,0.172731861
image1975,image1975_02_01.jpg,water jug,water jug,0.579029977
image1975,image1975_02_02.jpg,saltshaker,"saltshaker, salt shaker",0.18508634
image1976,image1976.jpg,French bulldog,French bulldog,0.095830381
image1976,image1976_01_01.jpg,water ouzel,"water ouzel, dipper",0.829977214
image1976,image1976_01_02.jpg,Egyptian cat,Egyptian cat,0.48588717
image1976,image1976_02_01.jpg,schipperke,schipperke,0.408576399
image1976,image1976_02_02.jpg,curly-coated retriever,curly-coated retriever,0.17866388
image1977,image1977.jpg,television,"television, television system",0.35874176
image1977,image1977_01_01.jpg,television,"television, television system",0.112939164
image1977,image1977_01_02.jpg,bonnet,"bonnet, poke bonnet",0.405908525
image1977,image1977_02_01.jpg,ping-pong ball,ping-pong ball,0.45911935
image1977,image1977_02_02.jpg,web site,"web site, website, internet site, site",0.388829231
image1978,image1978.jpg,bottlecap,bottlecap,0.496846765
image1978,image1978_01_01.jpg,ski mask,ski mask,0.343972564
image1978,image1978_01_02.jpg,snorkel,snorkel,0.170539901
image1978,image1978_02_01.jpg,seat belt,"seat belt, seatbelt",0.260780543
image1978,image1978_02_02.jpg,pick,"pick, plectrum, plectron",0.347068846
image1979,image1979.jpg,African grey,"African grey, African gray, Psittacus erithacus",0.124689251
image1979,image1979_01_01.jpg,abaya,abaya,0.13591364
image1979,image1979_01_02.jpg,bonnet,"bonnet, poke bonnet",0.098854847
image1979,image1979_02_01.jpg,sweatshirt,sweatshirt,0.323912799
image1979,image1979_02_02.jpg,barbershop,barbershop,0.14725022
image198,image198.jpg,Band Aid,Band Aid,0.524158955
image198,image198_01_01.jpg,torch,torch,0.102598667
image198,image198_01_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.075017691
image198,image198_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.054356478
image198,image198_02_02.jpg,flute,"flute, transverse flute",0.486313641
image1980,image1980.jpg,mortarboard,mortarboard,0.685608566
image1980,image1980_01_01.jpg,abaya,abaya,0.328517914
image1980,image1980_01_02.jpg,mortarboard,mortarboard,0.205867037
image1980,image1980_02_01.jpg,syringe,syringe,0.353895426
image1980,image1980_02_02.jpg,brassiere,"brassiere, bra, bandeau",0.152808398
image1981,image1981.jpg,jersey,"jersey, T-shirt, tee shirt",0.200844944
image1981,image1981_01_01.jpg,bow tie,"bow tie, bow-tie, bowtie",0.15611425
image1981,image1981_01_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.051603775
image1981,image1981_02_01.jpg,jersey,"jersey, T-shirt, tee shirt",0.148479864
image1981,image1981_02_02.jpg,bathing cap,"bathing cap, swimming cap",0.099728979
image1982,image1982.jpg,espresso maker,espresso maker,0.136458784
image1982,image1982_01_01.jpg,hourglass,hourglass,0.180444211
image1982,image1982_01_02.jpg,table lamp,table lamp,0.172731861
image1982,image1982_02_01.jpg,water jug,water jug,0.579029977
image1982,image1982_02_02.jpg,saltshaker,"saltshaker, salt shaker",0.18508634
image1983,image1983.jpg,French bulldog,French bulldog,0.095830381
image1983,image1983_01_01.jpg,water ouzel,"water ouzel, dipper",0.829977214
image1983,image1983_01_02.jpg,Egyptian cat,Egyptian cat,0.48588717
image1983,image1983_02_01.jpg,schipperke,schipperke,0.408576399
image1983,image1983_02_02.jpg,curly-coated retriever,curly-coated retriever,0.17866388
image1984,image1984.jpg,television,"television, television system",0.35874176
image1984,image1984_01_01.jpg,television,"television, television system",0.112939164
image1984,image1984_01_02.jpg,bonnet,"bonnet, poke bonnet",0.405908525
image1984,image1984_02_01.jpg,ping-pong ball,ping-pong ball,0.45911935
image1984,image1984_02_02.jpg,web site,"web site, website, internet site, site",0.388829231
image1985,image1985.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.079643115
image1985,image1985_01_01.jpg,wig,wig,0.06799715
image1985,image1985_01_02.jpg,sunglasses,"sunglasses, dark glasses, shades",0.046307508
image1985,image1985_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.286086708
image1985,image1985_02_02.jpg,seat belt,"seat belt, seatbelt",0.184770063
image1986,image1986.jpg,Arabian camel,"Arabian camel, dromedary, Camelus dromedarius",0.962471187
image1986,image1986_01_01.jpg,Arabian camel,"Arabian camel, dromedary, Camelus dromedarius",0.966573894
image1986,image1986_01_02.jpg,Arabian camel,"Arabian camel, dromedary, Camelus dromedarius",0.498384118
image1986,image1986_02_01.jpg,ox,ox,0.478790015
image1986,image1986_02_02.jpg,Arabian camel,"Arabian camel, dromedary, Camelus dromedarius",0.545424044
image1987,image1987.jpg,tub,"tub, vat",0.313517123
image1987,image1987_01_01.jpg,dam,"dam, dike, dyke",0.141407385
image1987,image1987_01_02.jpg,fountain,fountain,0.65537554
image1987,image1987_02_01.jpg,tub,"tub, vat",0.180058882
image1987,image1987_02_02.jpg,Labrador retriever,Labrador retriever,0.121142454
image1988,image1988.jpg,maze,"maze, labyrinth",0.736569464
image1988,image1988_01_01.jpg,maze,"maze, labyrinth",0.935226023
image1988,image1988_01_02.jpg,maze,"maze, labyrinth",0.749999523
image1988,image1988_02_01.jpg,potter's wheel,potter's wheel,0.129134357
image1988,image1988_02_02.jpg,cliff dwelling,cliff dwelling,0.266355336
image1989,image1989.jpg,barracouta,"barracouta, snoek",0.277584612
image1989,image1989_01_01.jpg,barracouta,"barracouta, snoek",0.623868942
image1989,image1989_01_02.jpg,drilling platform,"drilling platform, offshore rig",0.199978277
image1989,image1989_02_01.jpg,sturgeon,sturgeon,0.760155559
image1989,image1989_02_02.jpg,plow,"plow, plough",0.108169422
image199,image199.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.848102987
image199,image199_01_01.jpg,abaya,abaya,0.092835799
image199,image199_01_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.828035951
image199,image199_02_01.jpg,jersey,"jersey, T-shirt, tee shirt",0.661744237
image199,image199_02_02.jpg,jersey,"jersey, T-shirt, tee shirt",0.445495158
image1990,image1990.jpg,sunglass,sunglass,0.248617142
image1990,image1990_01_01.jpg,sunglass,sunglass,0.278160691
image1990,image1990_01_02.jpg,racket,"racket, racquet",0.389460057
image1990,image1990_02_01.jpg,swimming trunks,"swimming trunks, bathing trunks",0.146218792
image1990,image1990_02_02.jpg,tub,"tub, vat",0.243349165
image1991,image1991.jpg,swimming trunks,"swimming trunks, bathing trunks",0.210565343
image1991,image1991_01_01.jpg,lakeside,"lakeside, lakeshore",0.221513584
image1991,image1991_01_02.jpg,tub,"tub, vat",0.160832077
image1991,image1991_02_01.jpg,stingray,stingray,0.144280449
image1991,image1991_02_02.jpg,stingray,stingray,0.315440565
image1992,image1992.jpg,bathing cap,"bathing cap, swimming cap",0.261140436
image1992,image1992_01_01.jpg,bathing cap,"bathing cap, swimming cap",0.207519442
image1992,image1992_01_02.jpg,snorkel,snorkel,0.119673081
image1992,image1992_02_01.jpg,snorkel,snorkel,0.345963925
image1992,image1992_02_02.jpg,snorkel,snorkel,0.798525393
image1993,image1993.jpg,Band Aid,Band Aid,0.552728534
image1993,image1993_01_01.jpg,neck brace,neck brace,0.045845311
image1993,image1993_01_02.jpg,carousel,"carousel, carrousel, merry-go-round, roundabout, whirligig",0.141964465
image1993,image1993_02_01.jpg,tench,"tench, Tinca tinca",0.063967854
image1993,image1993_02_02.jpg,Band Aid,Band Aid,0.431764275
image1994,image1994.jpg,swimming trunks,"swimming trunks, bathing trunks",0.320644647
image1994,image1994_01_01.jpg,patio,"patio, terrace",0.27051115
image1994,image1994_01_02.jpg,patio,"patio, terrace",0.696486115
image1994,image1994_02_01.jpg,pot,"pot, flowerpot",0.873934567
image1994,image1994_02_02.jpg,sunglass,sunglass,0.363955528
image1995,image1995.jpg,sunglass,sunglass,0.102306284
image1995,image1995_01_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.35351336
image1995,image1995_01_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.4326455
image1995,image1995_02_01.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.79495132
image1995,image1995_02_02.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.686689019
image1996,image1996.jpg,sunglass,sunglass,0.706945658
image1996,image1996_01_01.jpg,sunglass,sunglass,0.356384337
image1996,image1996_01_02.jpg,scoreboard,scoreboard,0.594780684
image1996,image1996_02_01.jpg,sunglass,sunglass,0.542915344
image1996,image1996_02_02.jpg,restaurant,"restaurant, eating house, eating place, eatery",0.057871185
image1997,image1997.jpg,bathing cap,"bathing cap, swimming cap",0.261140436
image1997,image1997_01_01.jpg,bathing cap,"bathing cap, swimming cap",0.207519442
image1997,image1997_01_02.jpg,snorkel,snorkel,0.119673081
image1997,image1997_02_01.jpg,snorkel,snorkel,0.345963925
image1997,image1997_02_02.jpg,snorkel,snorkel,0.798525393
image1998,image1998.jpg,eggnog,eggnog,0.165799588
image1998,image1998_01_01.jpg,military uniform,military uniform,0.193466276
image1998,image1998_01_02.jpg,mortarboard,mortarboard,0.479123205
image1998,image1998_02_01.jpg,bassoon,bassoon,0.051441435
image1998,image1998_02_02.jpg,chocolate sauce,"chocolate sauce, chocolate syrup",0.261486501
image1999,image1999.jpg,ski,ski,0.899634123
image1999,image1999_01_01.jpg,alp,alp,0.450135589
image1999,image1999_01_02.jpg,ski,ski,0.814915717
image1999,image1999_02_01.jpg,dogsled,"dogsled, dog sled, dog sleigh",0.057458475
image1999,image1999_02_02.jpg,ski,ski,0.502530396
image20,image20.jpg,jersey,"jersey, T-shirt, tee shirt",0.077658869
image20,image20_01_01.jpg,seat belt,"seat belt, seatbelt",0.12504293
image20,image20_01_02.jpg,neck brace,neck brace,0.190202191
image20,image20_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.173601896
image20,image20_02_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.080213562
image200,image200.jpg,Shih-Tzu,Shih-Tzu,0.180913314
image200,image200_01_01.jpg,modem,modem,0.094352372
image200,image200_01_02.jpg,Band Aid,Band Aid,0.110593349
image200,image200_02_01.jpg,Shetland sheepdog,"Shetland sheepdog, Shetland sheep dog, Shetland",0.235091075
image200,image200_02_02.jpg,Boston bull,"Boston bull, Boston terrier",0.152971327
image2000,image2000.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.299290121
image2000,image2000_01_01.jpg,cliff,"cliff, drop, drop-off",0.197862133
image2000,image2000_01_02.jpg,Scottish deerhound,"Scottish deerhound, deerhound",0.219428077
image2000,image2000_02_01.jpg,bikini,"bikini, two-piece",0.094626352
image2000,image2000_02_02.jpg,bathing cap,"bathing cap, swimming cap",0.074628294
image2001,image2001.jpg,stethoscope,stethoscope,0.545261085
image2001,image2001_01_01.jpg,maraca,maraca,0.064234637
image2001,image2001_01_02.jpg,mortarboard,mortarboard,0.413227439
image2001,image2001_02_01.jpg,bucket,"bucket, pail",0.357257545
image2001,image2001_02_02.jpg,bolo tie,"bolo tie, bolo, bola tie, bola",0.473097771
image2002,image2002.jpg,harmonica,"harmonica, mouth organ, harp, mouth harp",0.464521915
image2002,image2002_01_01.jpg,bow tie,"bow tie, bow-tie, bowtie",0.148322612
image2002,image2002_01_02.jpg,seat belt,"seat belt, seatbelt",0.075375296
image2002,image2002_02_01.jpg,packet,packet,0.769874156
image2002,image2002_02_02.jpg,plastic bag,plastic bag,0.410788566
image2003,image2003.jpg,ski,ski,0.295934498
image2003,image2003_01_01.jpg,megalith,"megalith, megalithic structure",0.192686528
image2003,image2003_01_02.jpg,cliff,"cliff, drop, drop-off",0.345825464
image2003,image2003_02_01.jpg,shovel,shovel,0.135886565
image2003,image2003_02_02.jpg,ski,ski,0.281196654
image2004,image2004.jpg,cocktail shaker,cocktail shaker,0.543700576
image2004,image2004_01_01.jpg,water bottle,water bottle,0.580727637
image2004,image2004_01_02.jpg,water jug,water jug,0.594045818
image2004,image2004_02_01.jpg,refrigerator,"refrigerator, icebox",0.274212301
image2004,image2004_02_02.jpg,trombone,trombone,0.336554676
image2005,image2005.jpg,spotlight,"spotlight, spot",0.05490151
image2005,image2005_01_01.jpg,spotlight,"spotlight, spot",0.055442087
image2005,image2005_01_02.jpg,volcano,volcano,0.069220699
image2005,image2005_02_01.jpg,goldfish,"goldfish, Carassius auratus",0.030067708
image2005,image2005_02_02.jpg,bubble,bubble,0.036972895
image2006,image2006.jpg,sunglasses,"sunglasses, dark glasses, shades",0.792320669
image2006,image2006_01_01.jpg,sunglasses,"sunglasses, dark glasses, shades",0.442825407
image2006,image2006_01_02.jpg,sunglasses,"sunglasses, dark glasses, shades",0.761676729
image2006,image2006_02_01.jpg,West Highland white terrier,West Highland white terrier,0.141522095
image2006,image2006_02_02.jpg,suit,"suit, suit of clothes",0.038663462
image2007,image2007.jpg,sunglasses,"sunglasses, dark glasses, shades",0.732008457
image2007,image2007_01_01.jpg,sunglasses,"sunglasses, dark glasses, shades",0.803115189
image2007,image2007_01_02.jpg,sunglasses,"sunglasses, dark glasses, shades",0.673456311
image2007,image2007_02_01.jpg,suit,"suit, suit of clothes",0.217117727
image2007,image2007_02_02.jpg,suit,"suit, suit of clothes",0.630464554
image2008,image2008.jpg,television,"television, television system",0.163515851
image2008,image2008_01_01.jpg,web site,"web site, website, internet site, site",0.377359509
image2008,image2008_01_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.151812226
image2008,image2008_02_01.jpg,abaya,abaya,0.498161912
image2008,image2008_02_02.jpg,suit,"suit, suit of clothes",0.802763402
image2009,image2009.jpg,suit,"suit, suit of clothes",0.289720416
image2009,image2009_01_01.jpg,trench coat,trench coat,0.175580114
image2009,image2009_01_02.jpg,abaya,abaya,0.800625205
image2009,image2009_02_01.jpg,suit,"suit, suit of clothes",0.633381963
image2009,image2009_02_02.jpg,projector,projector,0.484497219
image201,image201.jpg,barrel,"barrel, cask",0.220293015
image201,image201_01_01.jpg,trench coat,trench coat,0.410987377
image201,image201_01_02.jpg,barrel,"barrel, cask",0.909755588
image201,image201_02_01.jpg,dishwasher,"dishwasher, dish washer, dishwashing machine",0.426057428
image201,image201_02_02.jpg,cradle,cradle,0.255764306
image2010,image2010.jpg,alp,alp,0.536517203
image2010,image2010_01_01.jpg,valley,"valley, vale",0.830658376
image2010,image2010_01_02.jpg,valley,"valley, vale",0.517843366
image2010,image2010_02_01.jpg,Indian cobra,"Indian cobra, Naja naja",0.093953952
image2010,image2010_02_02.jpg,park bench,park bench,0.447068572
image2011,image2011.jpg,cleaver,"cleaver, meat cleaver, chopper",0.139708012
image2011,image2011_01_01.jpg,cleaver,"cleaver, meat cleaver, chopper",0.52342838
image2011,image2011_01_02.jpg,refrigerator,"refrigerator, icebox",0.257379621
image2011,image2011_02_01.jpg,bath towel,bath towel,0.629996419
image2011,image2011_02_02.jpg,gown,gown,0.282113373
image2012,image2012.jpg,window shade,window shade,0.447527528
image2012,image2012_01_01.jpg,window shade,window shade,0.298728317
image2012,image2012_01_02.jpg,window shade,window shade,0.589054942
image2012,image2012_02_01.jpg,window shade,window shade,0.849842787
image2012,image2012_02_02.jpg,window shade,window shade,0.376157701
image2013,image2013.jpg,suit,"suit, suit of clothes",0.894480467
image2013,image2013_01_01.jpg,military uniform,military uniform,0.504209459
image2013,image2013_01_02.jpg,suit,"suit, suit of clothes",0.279999018
image2013,image2013_02_01.jpg,abaya,abaya,0.254014105
image2013,image2013_02_02.jpg,abaya,abaya,0.359695435
image2014,image2014.jpg,sunglasses,"sunglasses, dark glasses, shades",0.625049412
image2014,image2014_01_01.jpg,sunglasses,"sunglasses, dark glasses, shades",0.620770872
image2014,image2014_01_02.jpg,sunglasses,"sunglasses, dark glasses, shades",0.390904337
image2014,image2014_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.146357223
image2014,image2014_02_02.jpg,jersey,"jersey, T-shirt, tee shirt",0.612154722
image2015,image2015.jpg,ballplayer,"ballplayer, baseball player",0.466343582
image2015,image2015_01_01.jpg,sunglass,sunglass,0.358453006
image2015,image2015_01_02.jpg,sunglass,sunglass,0.403821558
image2015,image2015_02_01.jpg,sturgeon,sturgeon,0.055448778
image2015,image2015_02_02.jpg,jersey,"jersey, T-shirt, tee shirt",0.526273787
image2016,image2016.jpg,seat belt,"seat belt, seatbelt",0.844360948
image2016,image2016_01_01.jpg,seat belt,"seat belt, seatbelt",0.43181631
image2016,image2016_01_02.jpg,seat belt,"seat belt, seatbelt",0.681324303
image2016,image2016_02_01.jpg,seat belt,"seat belt, seatbelt",0.85038799
image2016,image2016_02_02.jpg,seat belt,"seat belt, seatbelt",0.999617457
image2017,image2017.jpg,seat belt,"seat belt, seatbelt",0.982550204
image2017,image2017_01_01.jpg,mortarboard,mortarboard,0.40783301
image2017,image2017_01_02.jpg,bathing cap,"bathing cap, swimming cap",0.705834389
